Category,ItemId,ItemName,Quantity,Price
Category3,1,Item_1,801,924.22
Category3,2,Item_2,881,354.04
Category3,3,Item_3,942,301.54
Category3,4,Item_4,612,452.71
Category3,5,Item_5,225,219.92
Category3,6,Item_6,400,503.95
Category3,7,Item_7,919,188.68
Category3,8,Item_8,853,441.79
Category3,9,Item_9,966,711.74
Category3,10,Item_10,364,251.91
Category3,11,Item_11,229,808.18
Category3,12,Item_12,376,397.15
Category3,13,Item_13,242,87.93
Category3,14,Item_14,849,897.05
Category3,15,Item_15,465,914.86
Category3,16,Item_16,40,735.2
Category3,17,Item_17,828,926.09
Category3,18,Item_18,110,421.75
Category3,19,Item_19,678,67.89
Category3,20,Item_20,98,203.36
Category3,21,Item_21,253,127.81
Category3,22,Item_22,419,618.88
Category3,23,Item_23,839,732.05
Category3,24,Item_24,797,672.19
Category3,25,Item_25,3,507.71
Category3,26,Item_26,714,274.36
Category3,27,Item_27,180,586.38
Category3,28,Item_28,848,703.55
Category3,29,Item_29,988,852.34
Category3,30,Item_30,535,235.9
Category3,31,Item_31,386,301.93
Category3,32,Item_32,813,273.82
Category3,33,Item_33,722,82.77
Category3,34,Item_34,533,447.69
Category3,35,Item_35,542,789.8
Category3,36,Item_36,853,359.49
Category3,37,Item_37,92,918.52
Category3,38,Item_38,373,421.21
Category3,39,Item_39,791,70.11
Category3,40,Item_40,853,799.03
Category3,41,Item_41,167,110.32
Category3,42,Item_42,675,710.06
Category3,43,Item_43,902,396.5
Category3,44,Item_44,596,744.02
Category3,45,Item_45,603,953.1
Category3,46,Item_46,113,658.56
Category3,47,Item_47,226,863.76
Category3,48,Item_48,136,269.57
Category3,49,Item_49,761,222.87
Category3,50,Item_50,179,111.88
Category3,51,Item_51,575,153.39
Category3,52,Item_52,982,984.41
Category3,53,Item_53,228,19.76
Category3,54,Item_54,414,572.92
Category3,55,Item_55,853,275.44
Category3,56,Item_56,989,850.69
Category3,57,Item_57,990,43.42
Category3,58,Item_58,959,74.65
Category3,59,Item_59,138,812.44
Category3,60,Item_60,924,250.91
Category3,61,Item_61,348,890.15
Category3,62,Item_62,226,669.37
Category3,63,Item_63,998,459.9
Category3,64,Item_64,100,554.92
Category3,65,Item_65,480,315.27
Category3,66,Item_66,861,563.03
Category3,67,Item_67,895,799.75
Category3,68,Item_68,466,183.41
Category3,69,Item_69,159,903.76
Category3,70,Item_70,475,759.49
Category3,71,Item_71,19,818.98
Category3,72,Item_72,648,785.52
Category3,73,Item_73,402,617.22
Category3,74,Item_74,964,358.56
Category3,75,Item_75,89,760.54
Category3,76,Item_76,589,604.66
Category3,77,Item_77,487,866.87
Category3,78,Item_78,216,817.06
Category3,79,Item_79,653,163.99
Category3,80,Item_80,329,624.69
Category3,81,Item_81,212,431.49
Category3,82,Item_82,608,96.7
Category3,83,Item_83,49,880.68
Category3,84,Item_84,439,157.51
Category3,85,Item_85,635,335.94
Category3,86,Item_86,688,340.13
Category3,87,Item_87,678,127.3
Category3,88,Item_88,871,16.08
Category3,89,Item_89,588,641.69
Category3,90,Item_90,133,254.35
Category3,91,Item_91,809,756.52
Category3,92,Item_92,917,291.78
Category3,93,Item_93,514,926.44
Category3,94,Item_94,13,702.37
Category3,95,Item_95,957,380.09
Category3,96,Item_96,235,974.39
Category3,97,Item_97,716,763.01
Category3,98,Item_98,350,31.36
Category3,99,Item_99,528,33.23
Category3,100,Item_100,46,615.73
Category3,101,Item_101,305,557.6
Category3,102,Item_102,670,858.65
Category3,103,Item_103,627,635.35
Category3,104,Item_104,297,479.86
Category3,105,Item_105,813,965.93
Category3,106,Item_106,778,748.64
Category3,107,Item_107,845,310.5
Category3,108,Item_108,310,580.17
Category3,109,Item_109,733,375.98
Category3,110,Item_110,50,158.64
Category3,111,Item_111,905,523.05
Category3,112,Item_112,528,837.36
Category3,113,Item_113,813,3.12
Category3,114,Item_114,391,832.94
Category3,115,Item_115,555,420.07
Category3,116,Item_116,767,939.7
Category3,117,Item_117,181,264.92
Category3,118,Item_118,712,169.55
Category3,119,Item_119,202,261.8
Category3,120,Item_120,52,261.84
Category3,121,Item_121,499,975.39
Category3,122,Item_122,87,682.3
Category3,123,Item_123,61,393.75
Category3,124,Item_124,423,177.18
Category3,125,Item_125,84,214.47
Category3,126,Item_126,679,460.72
Category3,127,Item_127,281,218.67
Category3,128,Item_128,489,895.19
Category3,129,Item_129,868,989.36
Category3,130,Item_130,932,153.57
Category3,131,Item_131,460,918.96
Category3,132,Item_132,884,895.43
Category3,133,Item_133,632,938.69
Category3,134,Item_134,705,46.73
Category3,135,Item_135,899,575.42
Category3,136,Item_136,534,2.14
Category3,137,Item_137,523,198.46
Category3,138,Item_138,565,853.6
Category3,139,Item_139,835,477.05
Category3,140,Item_140,461,662.87
Category3,141,Item_141,129,146.27
Category3,142,Item_142,398,435.49
Category3,143,Item_143,879,163.45
Category3,144,Item_144,678,294.82
Category3,145,Item_145,78,954.73
Category3,146,Item_146,919,738.67
Category3,147,Item_147,726,877.57
Category3,148,Item_148,340,457.83
Category3,149,Item_149,939,234.2
Category3,150,Item_150,948,665.29
Category3,151,Item_151,232,548.55
Category3,152,Item_152,413,33.91
Category3,153,Item_153,508,496.68
Category3,154,Item_154,681,847.11
Category3,155,Item_155,353,307.65
Category3,156,Item_156,796,411.78
Category3,157,Item_157,132,283.14
Category3,158,Item_158,360,770.33
Category3,159,Item_159,900,115.02
Category3,160,Item_160,292,774.77
Category3,161,Item_161,567,428.24
Category3,162,Item_162,755,201.76
Category3,163,Item_163,827,26.63
Category3,164,Item_164,547,738.52
Category3,165,Item_165,243,411.61
Category3,166,Item_166,744,239.89
Category3,167,Item_167,114,235.28
Category3,168,Item_168,163,533.0
Category3,169,Item_169,431,118.16
Category3,170,Item_170,105,306.5
Category3,171,Item_171,177,966.58
Category3,172,Item_172,208,777.25
Category3,173,Item_173,477,156.57
Category3,174,Item_174,933,231.08
Category3,175,Item_175,706,512.74
Category3,176,Item_176,778,721.98
Category3,177,Item_177,127,992.77
Category3,178,Item_178,595,801.76
Category3,179,Item_179,473,352.81
Category3,180,Item_180,435,192.49
Category3,181,Item_181,796,796.32
Category3,182,Item_182,66,224.97
Category3,183,Item_183,923,681.62
Category3,184,Item_184,215,870.07
Category3,185,Item_185,638,896.14
Category3,186,Item_186,986,216.38
Category3,187,Item_187,841,995.95
Category3,188,Item_188,713,564.04
Category3,189,Item_189,624,502.02
Category3,190,Item_190,444,134.88
Category3,191,Item_191,738,898.46
Category3,192,Item_192,448,890.58
Category3,193,Item_193,368,883.66
Category3,194,Item_194,994,195.83
Category3,195,Item_195,753,863.58
Category3,196,Item_196,312,345.17
Category3,197,Item_197,716,785.41
Category3,198,Item_198,781,984.52
Category3,199,Item_199,604,991.95
Category3,200,Item_200,848,738.08
Category3,201,Item_201,738,819.35
Category3,202,Item_202,801,168.67
Category3,203,Item_203,914,310.17
Category3,204,Item_204,690,467.39
Category3,205,Item_205,341,266.55
Category3,206,Item_206,200,940.15
Category3,207,Item_207,910,349.45
Category3,208,Item_208,92,722.28
Category3,209,Item_209,910,998.25
Category3,210,Item_210,767,229.31
Category3,211,Item_211,615,710.93
Category3,212,Item_212,787,246.27
Category3,213,Item_213,341,34.04
Category3,214,Item_214,901,655.77
Category3,215,Item_215,848,257.1
Category3,216,Item_216,924,850.82
Category3,217,Item_217,247,16.64
Category3,218,Item_218,86,896.12
Category3,219,Item_219,678,694.46
Category3,220,Item_220,886,202.35
Category3,221,Item_221,301,790.16
Category3,222,Item_222,409,933.8
Category3,223,Item_223,949,607.71
Category3,224,Item_224,845,520.92
Category3,225,Item_225,585,700.07
Category3,226,Item_226,798,856.77
Category3,227,Item_227,682,368.76
Category3,228,Item_228,519,646.91
Category3,229,Item_229,488,235.25
Category3,230,Item_230,956,291.97
Category3,231,Item_231,953,19.23
Category3,232,Item_232,59,841.15
Category3,233,Item_233,648,959.25
Category3,234,Item_234,2,796.84
Category3,235,Item_235,208,373.8
Category3,236,Item_236,823,462.3
Category3,237,Item_237,115,74.97
Category3,238,Item_238,189,697.65
Category3,239,Item_239,419,734.6
Category3,240,Item_240,123,718.12
Category3,241,Item_241,337,860.79
Category3,242,Item_242,900,457.42
Category3,243,Item_243,974,142.84
Category3,244,Item_244,77,110.49
Category3,245,Item_245,957,483.71
Category3,246,Item_246,251,358.63
