Category,ItemId,ItemName,Quantity,Price
Category5,1,Item_1,24,755.54
Category5,2,Item_2,559,262.22
Category5,3,Item_3,305,845.57
Category5,4,Item_4,789,895.67
Category5,5,Item_5,283,614.55
Category5,6,Item_6,189,534.36
Category5,7,Item_7,930,521.94
Category5,8,Item_8,939,725.79
Category5,9,Item_9,585,833.4
Category5,10,Item_10,834,140.46
Category5,11,Item_11,45,978.92
Category5,12,Item_12,616,608.33
Category5,13,Item_13,581,665.95
Category5,14,Item_14,788,353.87
Category5,15,Item_15,46,10.07
Category5,16,Item_16,915,867.07
Category5,17,Item_17,18,292.27
Category5,18,Item_18,634,870.24
Category5,19,Item_19,504,561.89
Category5,20,Item_20,92,377.04
Category5,21,Item_21,584,697.62
Category5,22,Item_22,167,234.2
Category5,23,Item_23,985,316.34
Category5,24,Item_24,510,734.44
Category5,25,Item_25,78,343.33
Category5,26,Item_26,168,350.03
Category5,27,Item_27,649,776.53
Category5,28,Item_28,889,293.83
Category5,29,Item_29,715,261.93
Category5,30,Item_30,702,172.91
Category5,31,Item_31,439,951.56
Category5,32,Item_32,29,196.38
Category5,33,Item_33,620,938.88
Category5,34,Item_34,419,167.35
Category5,35,Item_35,543,149.14
Category5,36,Item_36,923,660.1
Category5,37,Item_37,596,290.46
Category5,38,Item_38,132,536.75
Category5,39,Item_39,8,278.99
Category5,40,Item_40,372,452.33
Category5,41,Item_41,458,163.34
Category5,42,Item_42,626,642.8
Category5,43,Item_43,377,215.04
Category5,44,Item_44,368,323.79
Category5,45,Item_45,235,299.2
Category5,46,Item_46,54,397.55
Category5,47,Item_47,826,202.74
Category5,48,Item_48,626,986.77
Category5,49,Item_49,898,309.18
Category5,50,Item_50,869,564.26
Category5,51,Item_51,414,620.8
Category5,52,Item_52,212,117.52
Category5,53,Item_53,270,192.12
Category5,54,Item_54,32,528.51
Category5,55,Item_55,594,429.73
Category5,56,Item_56,696,675.95
Category5,57,Item_57,877,666.74
Category5,58,Item_58,950,981.48
Category5,59,Item_59,869,163.51
Category5,60,Item_60,386,724.26
Category5,61,Item_61,795,124.75
Category5,62,Item_62,415,117.09
Category5,63,Item_63,55,520.72
Category5,64,Item_64,962,926.3
Category5,65,Item_65,895,14.72
Category5,66,Item_66,554,604.98
Category5,67,Item_67,375,666.68
Category5,68,Item_68,990,378.71
Category5,69,Item_69,998,917.45
Category5,70,Item_70,933,616.61
Category5,71,Item_71,64,250.0
Category5,72,Item_72,266,21.15
Category5,73,Item_73,241,541.6
Category5,74,Item_74,703,580.27
Category5,75,Item_75,43,242.4
Category5,76,Item_76,93,95.81
Category5,77,Item_77,957,230.8
Category5,78,Item_78,959,187.57
Category5,79,Item_79,476,342.91
Category5,80,Item_80,949,570.77
Category5,81,Item_81,479,805.35
Category5,82,Item_82,701,846.66
Category5,83,Item_83,442,410.07
Category5,84,Item_84,135,156.64
Category5,85,Item_85,372,529.4
Category5,86,Item_86,112,272.21
Category5,87,Item_87,837,295.37
Category5,88,Item_88,790,651.35
Category5,89,Item_89,146,734.69
Category5,90,Item_90,466,836.59
Category5,91,Item_91,125,296.32
Category5,92,Item_92,454,817.7
Category5,93,Item_93,718,430.0
Category5,94,Item_94,505,158.78
Category5,95,Item_95,433,866.59
Category5,96,Item_96,595,125.31
Category5,97,Item_97,370,955.81
Category5,98,Item_98,693,770.22
Category5,99,Item_99,261,270.67
Category5,100,Item_100,30,424.55
Category5,101,Item_101,569,261.71
Category5,102,Item_102,202,514.11
Category5,103,Item_103,36,652.89
Category5,104,Item_104,557,221.28
Category5,105,Item_105,717,31.08
Category5,106,Item_106,715,461.46
Category5,107,Item_107,184,321.73
Category5,108,Item_108,64,477.45
Category5,109,Item_109,710,578.44
Category5,110,Item_110,23,611.94
Category5,111,Item_111,499,853.39
Category5,112,Item_112,350,124.95
Category5,113,Item_113,340,675.17
Category5,114,Item_114,307,808.13
Category5,115,Item_115,684,447.61
Category5,116,Item_116,243,864.37
Category5,117,Item_117,19,194.33
Category5,118,Item_118,128,40.94
Category5,119,Item_119,775,180.64
Category5,120,Item_120,67,531.97
Category5,121,Item_121,627,543.58
Category5,122,Item_122,374,901.76
Category5,123,Item_123,297,897.78
Category5,124,Item_124,22,294.9
Category5,125,Item_125,369,960.49
Category5,126,Item_126,818,755.44
Category5,127,Item_127,273,750.24
Category5,128,Item_128,997,241.9
Category5,129,Item_129,373,67.25
Category5,130,Item_130,766,452.09
Category5,131,Item_131,610,549.87
Category5,132,Item_132,525,555.84
Category5,133,Item_133,611,101.85
Category5,134,Item_134,567,613.41
Category5,135,Item_135,530,984.52
Category5,136,Item_136,950,275.0
Category5,137,Item_137,638,352.12
Category5,138,Item_138,241,559.74
Category5,139,Item_139,569,965.81
Category5,140,Item_140,361,509.43
Category5,141,Item_141,672,248.88
Category5,142,Item_142,766,777.35
Category5,143,Item_143,369,175.2
Category5,144,Item_144,410,394.17
Category5,145,Item_145,663,464.3
Category5,146,Item_146,333,869.64
Category5,147,Item_147,365,966.18
Category5,148,Item_148,551,787.81
Category5,149,Item_149,707,658.75
Category5,150,Item_150,9,899.23
Category5,151,Item_151,312,785.11
Category5,152,Item_152,91,931.67
Category5,153,Item_153,729,26.43
Category5,154,Item_154,198,294.33
Category5,155,Item_155,360,923.91
Category5,156,Item_156,180,267.45
Category5,157,Item_157,564,592.26
Category5,158,Item_158,94,856.05
Category5,159,Item_159,189,486.99
Category5,160,Item_160,875,222.68
Category5,161,Item_161,575,627.82
Category5,162,Item_162,299,745.37
Category5,163,Item_163,599,376.74
Category5,164,Item_164,859,598.65
Category5,165,Item_165,911,164.0
Category5,166,Item_166,774,466.95
Category5,167,Item_167,465,668.6
Category5,168,Item_168,794,694.74
Category5,169,Item_169,817,347.24
Category5,170,Item_170,499,270.55
Category5,171,Item_171,638,524.06
Category5,172,Item_172,522,180.55
Category5,173,Item_173,412,67.28
Category5,174,Item_174,134,812.66
Category5,175,Item_175,663,369.71
Category5,176,Item_176,586,449.75
Category5,177,Item_177,654,561.4
Category5,178,Item_178,312,88.78
Category5,179,Item_179,142,368.5
Category5,180,Item_180,514,995.32
Category5,181,Item_181,539,299.17
Category5,182,Item_182,996,891.79
Category5,183,Item_183,923,128.17
Category5,184,Item_184,42,182.4
Category5,185,Item_185,931,73.04
Category5,186,Item_186,574,182.46
Category5,187,Item_187,550,332.74
Category5,188,Item_188,675,354.39
Category5,189,Item_189,463,937.2
Category5,190,Item_190,930,657.88
Category5,191,Item_191,459,464.08
Category5,192,Item_192,645,277.63
Category5,193,Item_193,339,549.19
Category5,194,Item_194,553,506.77
Category5,195,Item_195,525,751.6
Category5,196,Item_196,123,570.17
Category5,197,Item_197,124,682.14
Category5,198,Item_198,566,426.7
Category5,199,Item_199,110,539.71
Category5,200,Item_200,129,618.6
Category5,201,Item_201,465,595.32
Category5,202,Item_202,11,717.92
Category5,203,Item_203,158,172.89
Category5,204,Item_204,460,667.41
Category5,205,Item_205,192,640.1
Category5,206,Item_206,181,744.02
Category5,207,Item_207,454,166.2
Category5,208,Item_208,928,756.59
Category5,209,Item_209,345,265.88
Category5,210,Item_210,1000,825.73
Category5,211,Item_211,41,982.3
Category5,212,Item_212,191,207.83
Category5,213,Item_213,123,724.58
Category5,214,Item_214,613,466.7
Category5,215,Item_215,829,197.25
Category5,216,Item_216,295,951.36
Category5,217,Item_217,108,749.85
Category5,218,Item_218,60,619.6
Category5,219,Item_219,245,37.02
Category5,220,Item_220,16,124.67
